No,Random Seed for the artificial Voice,Femininity / Masculinity,Sibilance,Accentuated High / Low Frequencies,Loudness / Arousal / Calmness,Tone / Timbre,Duration Scale,Pause Duration Scale,Pitch Variance Scale,Energy Variance Scale
1,691,10.1,2.6,5.7,-21.2,-14,1.2,1.2,1,1
2,,,,,,,,,,
